3.45  3.76 
2.78  2.87 
2.52  2.54 
3.67  3.83 
3.24  3.29 
2.10  2.64 
2.82  2.86 
2.36  2.03 
2.42  2.81 
3.51  3.41 
3.48  3.61 
2.14  2.48 
2.59  3.21 
3.46  3.52 
3.51  3.41 
3.68  3.52 
3.91  3.84 
3.72  3.64 
2.15  2.14 
2.48  2.21 
3.09  3.17 
2.71  3.01 
2.46  3.17 
3.32  3.01 
3.61  3.72 
3.82  3.78 
2.64  2.51 
2.19  2.10 
3.34  3.21 
3.48  3.68 
3.56  3.48 
3.81  3.71 
3.92  3.81 
2.52  2.09 
2.71  2.17 
3.15  2.98 
3.22  3.28 
2.29  2.74 
2.03  2.19 
3.14  3.28 
3.52  3.68 
2.91  3.17 
2.83  3.17 
2.65  3.31 
2.41  3.07 
2.54  2.38 
2.66  2.94 
3.21  2.84 
3.34  3.17 
3.68  3.72 
2.84  2.17 
2.74  2.42 
2.71  2.49 
2.24  3.38 
2.48  2.07 
3.14  3.22 
2.83  2.71 
3.44  3.31 
2.89  3.28 
2.67  3.19 
3.24  3.24 
3.29  3.53 
3.87  3.72 
3.94  3.98 
3.42  3.09 
3.52  3.42 
2.24  2.07 
3.29  3.17 
3.41  3.51 
3.56  3.49 
3.61  3.51 
3.28  3.40 
3.21  3.38 
3.48  3.54 
3.62  3.48 
2.92  3.09 
2.81  3.14 
3.11  3.28 
3.28  3.41 
2.70  3.02 
2.62  2.97 
3.72  4.00 
3.42  3.34 
3.51  3.28 
3.28  3.32 
3.42  3.51 
3.90  3.68 
3.12  3.07 
2.83  2.78 
2.09  3.68 
3.17  3.30 
3.28  3.34 
3.02  3.17 
3.42  3.07 
3.06  3.19 
2.76  2.15 
3.19  3.11 
2.23  2.17 
2.48  2.14 
3.76  3.74 
3.49  3.27 
3.07  3.19 
2.19  2.98 
3.46  3.28 
